year,film,person,is_winner,raw_text,source_url
,1985,Hah Myung-joong,False,5 | 1985 | Hah Myung-joong | Blazing Sun | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1986,Lee Dae-geun,False,6 | 1986 | Lee Dae-geun | Mulberry | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1987,Shin Seong-il,False,7 | 1987 | Shin Seong-il | Lethe's Love Song | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1988,Yu In-chon,False,8 | 1988 | Yu In-chon | Diary of King Yeonsan | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1989,Park Joong-hoon,False,9 | 1989 | Park Joong-hoon | Chilsu and Mansu | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1990,Park Joong-hoon,False,10 | 1990 | Park Joong-hoon | The Lovers of Woomook-baemi | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1991,Lee Young-ha,False,11 | 1991 | Lee Young-ha | Only Because You Are a Woman | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1992,Moon Sung-keun,False,12 | 1992 | Moon Sung-keun | Road to the Racetrack | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1993,Kim Myung-gon,False,13 | 1993 | Kim Myung-gon | Sopyonje | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1994,Ahn Sung-ki,False,14 | 1994 | Ahn Sung-ki | Two Cops | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1995,Ahn Sung-ki,False,15 | 1995 | Ahn Sung-ki | The Eternal Empire | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1996,Ahn Sung-ki,False,16 | 1996 | Ahn Sung-ki | Festival | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1997,Han Suk-kyu,False,17 | 1997 | Han Suk-kyu | Green Fish | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1998,Song Kang-ho,False,18 | 1998 | Song Kang-ho | No. 3 | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1999,Lee Jung-jae,False,19 | 1999 | Lee Jung-jae | City of the Rising Sun | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2000,Park Joong-hoon,False,20 | 2000 | Park Joong-hoon | Nowhere to Hide | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2001,Choi Min-sik,False,21 | 2001 | Choi Min-sik | Failan | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2002,Sul Kyung-gu,False,22 | 2002 | Sul Kyung-gu | Oasis | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2003,Song Kang-ho,False,23 | 2003 | Song Kang-ho | Memories of Murder | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2004,Choi Min-sik,False,24 | 2004 | Choi Min-sik | Oldboy | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2005,Lee Byung-hun,False,25 | 2005 | Lee Byung-hun | A Bittersweet Life | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2006,Ahn Sung-ki,False,26 | 2006 | Ahn Sung-ki | Radio Star | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2007,Song Kang-ho,False,27 | 2007 | Song Kang-ho | The Show Must Go On | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2008,So Ji-sub,False,28 | 2008 | So Ji-sub | Rough Cut | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2009,Lee Beom-soo,False,29 | 2009 | Lee Beom-soo | Lifting King Kong | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2010,Gang Dong-won,False,30 | 2010 | Gang Dong-won | Secret Reunion | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2011,Ha Jung-woo,False,31 | 2011 | Ha Jung-woo | The Yellow Sea | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2012,Ahn Sung-ki,False,32 | 2012 | Ahn Sung-ki | Unbowed | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2013,Song Kang-ho,False,33 | 2013 | Song Kang-ho | The Face Reader | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2014,Choi Min-sik,False,34 | 2014 | Choi Min-sik | The Admiral: Roaring Currents | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2015,Jung Jae-young,False,"35 | 2015 | Jung Jae-young | Right Now, Wrong Then | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2016,Lee Byung-hun,False,36 | 2016 | Lee Byung-hun | Inside Men | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2017,Sul Kyung-gu,False,37 | 2017 | Sul Kyung-gu | The Merciless | [ 3 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2018,Lee Sung-min,False,38 | 2018 | Lee Sung-min | The Spy Gone North | [ 4 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2019,Shin Ha-kyun,False,39 | 2019 | Shin Ha-kyun | Inseparable Bros | [ 5 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2020,Lee Byung-hun,False,40 | 2020 | Lee Byung-hun | The Man Standing Next | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2021,Sul Kyung-gu,False,41 | 2021 | Sul Kyung-gu | The Book of Fish | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2022,Jung Woo-sung,False,42 | 2022 | Jung Woo-sung | Hunt | [ 7 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2023,Ryu Jun-yeol,False,43 | 2023 | Ryu Jun-yeol | The Night Owl | [ 8 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2024,Lee Hee-joon,False,44 | 2024 | Lee Hee-joon | Handsome Guys | [ 9 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2025,Park Jeong-min,False,45 | 2025 | Park Jeong-min | The Ugly | [ 10 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1980,Chang Mi-hee,False,1 | 1980 | Chang Mi-hee | Neumi | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1981,Woo Yeon-jeong,False,2 | 1981 | Woo Yeon-jeong | I Will Stand in Front of You Again | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1983,Na Young-hee,False,"3 | 1983 | Na Young-hee | Sea Gull, Don't Fly Away | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1984,Won Mi-kyung,False,4 | 1984 | Won Mi-kyung | Mulleya Mulleya | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1985,Lee Mi-sook,False,5 | 1985 | Lee Mi-sook | The Winter That Year Was Warm | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1986,Lee Mi-sook,False,6 | 1986 | Lee Mi-sook | Mulberry | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1987,Kim Ji-mee,False,7 | 1987 | Kim Ji-mee | Ticket | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1988,Lee Bo-hee,False,8 | 1988 | Lee Bo-hee | You My Rose Mellow | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1989,Kang Soo-yeon,False,9 | 1989 | Kang Soo-yeon | Come Come Come Upward | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1990,Kang Soo-yeon,False,10 | 1990 | Kang Soo-yeon | All That Falls Has Wings | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1991,Lee Hye-sook,False,11 | 1991 | Lee Hye-sook | Silver Stallion | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1992,Yoon Jeong-hee,False,12 | 1992 | Yoon Jeong-hee | Flower in Snow | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1993,Shim Hye-jin,False,13 | 1993 | Shim Hye-jin | Marriage Story | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1994,Kim Seo-ra,False,14 | 1994 | Kim Seo-ra | The Story of Two Women | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1995,Choi Myung-gil,False,15 | 1995 | Choi Myung-gil | Rosy Life | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
