year,ceremony,category,nominee,film,won
1993,Crystal Simorgh Awards,Best Helmer,Mohsen Makhmalbaf,Actor,0
1994,Crystal Simorgh Awards,Best Filmmaker,Mohammad Bozorgnia,Tanker War,1
1994,Crystal Simorgh Awards,Best Filmmaker,Ebrahim Hatamikia,The Green Ashes,0
1994,Crystal Simorgh Awards,Best Director,Hassan Hedayat,The Devil's Eye,0
1994,Crystal Simorgh Awards,Best Director,Jamal Shurjeh,The Epic of Majnun,0
1994,Crystal Simorgh Awards,Best Director,Hossein-Ali Layalestani,Zero Heights,0
1995,Crystal Simorgh Awards,Best Filmmaker,Dariush Mehrjui,Pari,1
1995,Crystal Simorgh Awards,Best Helmer,Shahram Assadi,The Fateful Day ‡,0
1995,Crystal Simorgh Awards,Best Filmmaker,Ahmad-Reza Darvish,Kimia,0
1995,Crystal Simorgh Awards,Best Filmmaker,Rakhshan Bani-Etemad,The Blue-Veiled,0
1996,Crystal Simorgh Awards,Best Director,Kiumars Pourahmad,Strange Sisters,1
1996,Crystal Simorgh Awards,Best Helmer,Majid Majidi,The Father ‡,0
1996,Crystal Simorgh Awards,Best Filmmaker,Rasoul Mollagholipour,Journey to Chazabeh,0
1996,Crystal Simorgh Awards,Best Director,Mohsen Makhmalbaf,Gabbeh,0
1997,Crystal Simorgh Awards,Best Filmmaker,Majid Majidi,Children of Heaven ‡,1
1997,Crystal Simorgh Awards,Best Filmmaker,Ahmad-Reza Darvish,Land of the Sun,0
1997,Crystal Simorgh Awards,Best Filmmaker,Dariush Mehrjui,Leila,0
1997,Crystal Simorgh Awards,Best Helmer,Parviz Shahbazi,The Traveller from the South,0
1998,Crystal Simorgh Awards,Best Director,Ebrahim Hatamikia,The Glass Agency ‡,1
1998,Crystal Simorgh Awards,Best Filmmaker,Farhad Mehranfar,The Tree of Life,0
1998,Crystal Simorgh Awards,Best Director,Dariush Mehrjui,The Pear Tree,0
1998,Crystal Simorgh Awards,Best Helmer,Rakhshan Bani-Etemad,The May Lady,0
1998,Crystal Simorgh Awards,Best Helmer,Mojtaba Ra'i,Birth of A Butterfly,0
1999,Crystal Simorgh Awards,Best Filmmaker,Rasoul Mollagholipour,Heeva  ‡,1
1999,Crystal Simorgh Awards,Best Helmer,Ebrahim Hatamikia,The Red Ribbon,0
1999,Crystal Simorgh Awards,Best Filmmaker,Tahmineh Milani,Two Women,0
1999,Crystal Simorgh Awards,Best Director,Majid Majidi,The Color of Paradise,0
1999,Crystal Simorgh Awards,Best Helmer,Alireza Davoodnejad,Sweet Agony,0
