year,ceremony,category,nominee,film,won
2017,Premios Sur,Best Actress,Paola Barrientos,El peso de la ley,0
2016,Premios Sur,Best Actress,Natalia Oreiro,"Gilda, no me arrepiento de este amor",1
2016,Premios Sur,Best Actress,Érica Rivas,La luz incidente,0
2016,Premios Sur,Best Actress,Julieta Zylberberg,El rey del Once,0
2016,Premios Sur,Best Actress,Marilú Marini,El eslabón podrido,0
2015,Premios Sur,Best Actress,Dolores Fonzi,La patota,1
2015,Premios Sur,Best Actress,Julieta Zylberberg,Mi amiga del parque,0
2015,Premios Sur,Best Actress,María Eugenia Suárez,Abzurdah,0
2015,Premios Sur,Best Actress,Pilar Gamboa,El incendio,0
2014,Premios Sur,Best Actress,Érica Rivas,Relatos salvajes,1
2014,Premios Sur,Best Actress,Celeste Cid,Aire libre,0
2014,Premios Sur,Best Actress,Mercedes Morán,Betibú,0
2014,Premios Sur,Best Actress,Rita Cortese,Relatos salvajes,0
2013,Premios Sur,Best Actress,Julieta Díaz,Corazón de León,1
2013,Premios Sur,Best Actress,Claudia Fontán,La reconstrucción,0
2013,Premios Sur,Best Actress,Eugenia Capizzano,Cornelia frente al espejo,0
2013,Premios Sur,Best Actress,Natalia Oreiro,Wakolda,0
2012,Premios Sur,Best Actress,Natalia Oreiro,Infancia clandestina,1
2012,Premios Sur,Best Actress,Carla Peterson,Dos más dos,0
2012,Premios Sur,Best Actress,Dolores Fonzi,El campo,0
2012,Premios Sur,Best Actress,Julieta Díaz,Dos más dos,0
2011,Premios Sur,Best Actress,Moro Anghileri,"Aballay, el hombre sin miedo",1
2011,Premios Sur,Best Actress,Graciela Borges,Viudas,0
2011,Premios Sur,Best Actress,Julieta Díaz,Juan y Eva,0
2011,Premios Sur,Best Actress,Valeria Bertuccelli,Viudas,0
2010,Premios Sur,Best Actress,Érica Rivas,Por tu culpa,1
2010,Premios Sur,Best Actress,Graciela Borges,Dos hermanos,0
2010,Premios Sur,Best Actress,Julieta Zylberberg,La mirada invisible,0
2010,Premios Sur,Best Actress,Martina Gusmán,Carancho,0
2009,Premios Sur,Best Actress,Soledad Villamil,El secreto de sus ojos,1
2009,Premios Sur,Best Actress,Ana Celentano,Las viudas de los jueves,0
2009,Premios Sur,Best Actress,Gabriela Toscano,Las viudas de los jueves,0
2009,Premios Sur,Best Actress,Mariela Vitale,El niño pez,0
2009,Premios Sur,Best Actress,Natalia Oreiro,Música en espera,0
2008,Premios Sur,Best Actress,Valeria Bertuccelli,Un novio para mi mujer,1
2008,Premios Sur,Best Actress,Cecilia Roth,El nido vacío,0
2008,Premios Sur,Best Actress,María Onetto,La mujer sin cabeza,0
2008,Premios Sur,Best Actress,Martina Gusmán,Leonera,0
2008,Premios Sur,Best Actress,Silvia Pérez,Encarnación,0
2007,Premios Sur,Best Actress,Carolina Peleritti,¿Quién dice que es fácil?,1
2007,Premios Sur,Best Actress,Betiana Blum,Tocar el cielo,0
2007,Premios Sur,Best Actress,Julieta Díaz,La señal,0
2006,Premios Sur,Best Actress,Graciela Borges,Las manos,1
2006,Premios Sur,Best Actress,Adriana Aizemberg,A través de tus ojos,0
2006,Premios Sur,Best Actress,Cecilia Roth,Sofacama,0
2006,Premios Sur,Best Actress,Julieta Díaz,Derecho de familia,0
