year,ceremony,category,nominee,film,won
1948,Cóndor de Plata,Best Director,Luis César Amadori,Albéniz,1
1949,Cóndor de Plata,Best Filmmaker,Luis César Amadori,Dios se lo pague,1
1950,Cóndor de Plata,Best Director,Daniel Tinayre,Danza del fuego,1
1951,Cóndor de Plata,Best Helmer,Ralph Pappier,Escuela de campeones,1
1952,Cóndor de Plata,Best Helmer,Lucas Demare,Los isleros,1
1953,Cóndor de Plata,Best Helmer,Hugo del Carril,Las aguas bajan turbias,1
1954,Cóndor de Plata,Best Filmmaker,Ralph Pappier,Caballito criollo,1
1955,Cóndor de Plata,Best Helmer,Lucas Demare,Guacho,1
1956,Cóndor de Plata,Best Helmer,Fernando Ayala,Ayer fue primavera,1
1957,Cóndor de Plata,Best Director,Fernando Ayala,Los tallos amargos,1
1959,Cóndor de Plata,Best Filmmaker,Fernando Ayala,El jefe,1
1960,Cóndor de Plata,Best Director,Leopoldo Torre Nilsson,La caída,1
1961,Cóndor de Plata,Best Director,Leopoldo Torre Nilsson,Fin de fiesta Un guapo del 900,1
1962,Cóndor de Plata,Best Helmer,Lautaro Murúa,Alias Gardelito,1
1963,Cóndor de Plata,Best Helmer,Manuel Antín,La cifra impar,1
1964,Cóndor de Plata,Best Filmmaker,Juan Antonio Bardem,Los inocentes,1
1965,Cóndor de Plata,Best Helmer,Enrique Carreras,Los evadidos,1
1966,Cóndor de Plata,Best Director,Rodolfo Kuhn,Pajarito Gómez,1
1967,Cóndor de Plata,Best Director,Leopoldo Torre Nilsson,El ojo que espía,1
1968,Cóndor de Plata,Best Helmer,Leonardo Favio,El romance del Aniceto y la Francisca,1
1969,Cóndor de Plata,Best Helmer,Leopoldo Torre Nilsson,Martín Fierro,1
1970,Cóndor de Plata,Best Director,Manuel Antín,Don Segundo Sombra,1
1971,Cóndor de Plata,Best Director,David José Kohon,Con alma y vida,1
1972,Cóndor de Plata,Best Helmer,Fernando Ayala,Argentino hasta la muerte,1
1972,Cóndor de Plata,Best Filmmaker,Enrique Carreras,La valija,1
1973,Cóndor de Plata,Best Director,Leopoldo Torre Nilsson,La maffia,1
1974,Cóndor de Plata,Best Helmer,Leopoldo Torre Nilsson,Los siete locos,1
1981,Cóndor de Plata,Best Filmmaker,Raúl de la Torre,El infierno tan temido,1
1982,Cóndor de Plata,Best Helmer,Adolfo Aristarain,Tiempo de revancha,1
1983,Cóndor de Plata,Best Helmer,Adolfo Aristarain,Últimos días de la víctima,1
1985,Cóndor de Plata,Best Director,Alejandro Doria,Darse cuenta,1
1986,Cóndor de Plata,Best Director,Luis Puenzo,La historia oficial,1
1987,Cóndor de Plata,Best Helmer,Fernando Solanas,El exilio de Gardel (Tangos),1
1988,Cóndor de Plata,Best Filmmaker,Eliseo Subiela,Hombre mirando al sudeste,1
1989,Cóndor de Plata,Best Director,Miguel Pereira,La deuda interna,1
1990,Cóndor de Plata,Best Filmmaker,Osvaldo Andéchaga,La ciudad oculta,1
1991,Cóndor de Plata,Best Helmer,Eliseo Subiela,Últimas imágenes del naufragio,1
1992,Cóndor de Plata,Best Filmmaker,Tristán Bauer,Después de la tormenta,1
1993,Cóndor de Plata,Best Director,Adolfo Aristarain,Un lugar en el mundo,1
1993,Cóndor de Plata,Best Director,Eliseo Subiela,El lado oscuro del corazón,1
1994,Cóndor de Plata,Best Filmmaker,Leonardo Favio,"Gatica, el Mono",1
1994,Cóndor de Plata,Best Filmmaker,María Luisa Bemberg,De eso no se habla,1
1995,Cóndor de Plata,Best Director,Tristán Bauer,Cortázar,1
1996,Cóndor de Plata,Best Director,Juan Bautista Stagnaro,Casas de fuego,1
1996,Cóndor de Plata,Best Helmer,Adolfo Aristarain,La ley de la frontera,0
