year,ceremony,category,nominee,film,country,winner,source_url
1977,Berlin IFF 1977,Silver Bear Best Actor,Fernando Fernán Gómez,The Anchorite,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1977,Berlin IFF 1977,Silver Bear Best Actress,Lily Tomlin,The Late Show,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1977,Berlin IFF 1977,Silver Bear Best Director,Manuel Gutiérrez Aragón,Black Litter,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1977,Berlin IFF 1977,Silver Bear Grand Jury Prize,"Le Diable, Probablement","The Devil, Probably",,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1978,Berlin IFF 1978,Golden Bear,Emilio Martínez-Lázaro,Las palabras de Max,,1,https://en.wikipedia.org/wiki/Golden_Bear
1978,Berlin IFF 1978,Golden Bear,Tomás Muñoz,Ascensor,,1,https://en.wikipedia.org/wiki/Golden_Bear
1978,Berlin IFF 1978,Silver Bear Best Actor,Craig Russell,Outrageous!,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1978,Berlin IFF 1978,Silver Bear Best Actress,Gena Rowlands,Opening Night,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1978,Berlin IFF 1978,Silver Bear Best Director,Georgi Djulgerov,Advantage,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1978,Berlin IFF 1978,Silver Bear Grand Jury Prize,Ruy Guerra & Nelson Xavier,A Queda,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1979,Berlin IFF 1979,Golden Bear,Peter Lilienthal,David,,1,https://en.wikipedia.org/wiki/Golden_Bear
1979,Berlin IFF 1979,Silver Bear Best Actor,Michele Placido,Ernesto,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1979,Berlin IFF 1979,Silver Bear Best Actress,Hanna Schygulla,The Marriage of Maria Braun,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1979,Berlin IFF 1979,Silver Bear Best Director,Astrid Henning-Jensen,Winterborn,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1979,Berlin IFF 1979,Silver Bear Grand Jury Prize,إسكندرية ليه,Alexandria... Why?,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1980,Berlin IFF 1980,Golden Bear,,Heartland,,1,https://en.wikipedia.org/wiki/Golden_Bear
