year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1992,1993,39,Best Actor,ACTOR IN A LEADING ROLE,Anil Kapoor,Virendra Pratap Singh,False
1992,1993,39,Best Actor,ACTOR IN A LEADING ROLE,Dilip Kumar,Veeru Singh,False
1992,1993,39,Best Actor,ACTOR IN A LEADING ROLE,Sanjay Dutt,Aman Verma,False
1993,1994,40,Best Actor,ACTOR IN A LEADING ROLE,,Anil Kapoor ‡,False
1993,1994,40,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Sanjaylal Sharma,False
1993,1994,40,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Baadshah Khan,False
1994,1995,41,Best Actor,ACTOR IN A LEADING ROLE,,Shah Rukh Khan ‡,False
1994,1995,41,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Rahul Malhotra,False
1994,1995,41,Best Actor,ACTOR IN A LEADING ROLE,Govinda,Bunnu / Gulshan / Gaurishankar,False
1994,1995,41,Best Actor,ACTOR IN A LEADING ROLE,Jackie Shroff,Shiva P. Sathe,False
1994,1995,41,Best Actor,ACTOR IN A LEADING ROLE,Sanjay Dutt,Ballu/Balram,False
1995,1996,42,Best Actor,ACTOR IN A LEADING ROLE,,Nana Patekar ‡,False
1995,1996,42,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Amar Manohar,False
1995,1996,42,Best Actor,ACTOR IN A LEADING ROLE,Akshay Kumar,Vijay Saigal,False
1995,1996,42,Best Actor,ACTOR IN A LEADING ROLE,Anil Kapoor,Narendra Singh,False
1995,1996,42,Best Actor,ACTOR IN A LEADING ROLE,Salman Khan,Prem,False
1996,1997,43,Best Actor,ACTOR IN A LEADING ROLE,,Shah Rukh Khan ‡,False
1996,1997,43,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Munna,False
1996,1997,43,Best Actor,ACTOR IN A LEADING ROLE,Ajay Devgan,Jay Bakshi,False
1996,1997,43,Best Actor,ACTOR IN A LEADING ROLE,Govinda,Raju,False
1996,1997,43,Best Actor,ACTOR IN A LEADING ROLE,Salman Khan,Karan Singh,False
1997,1998,44,Best Actor,ACTOR IN A LEADING ROLE,,Aamir Khan ‡,False
1997,1998,44,Best Actor,ACTOR IN A LEADING ROLE,Sunny Deol,Kashi Nath,False
1997,1998,44,Best Actor,ACTOR IN A LEADING ROLE,Govinda,Shyamsundar,False
1997,1998,44,Best Actor,ACTOR IN A LEADING ROLE,Nana Patekar,Vishwanath,False
1997,1998,44,Best Actor,ACTOR IN A LEADING ROLE,Joseph Braganza,Khamoshi,False
1998,1999,45,Best Actor,ACTOR IN A LEADING ROLE,,Shah Rukh Khan ‡,False
1998,1999,45,Best Actor,ACTOR IN A LEADING ROLE,Sunny Deol,Major Kuldip Singh Chandpuri,False
1998,1999,45,Best Actor,ACTOR IN A LEADING ROLE,Anil Kapoor,Shakti Thakur,False
1998,1999,45,Best Actor,ACTOR IN A LEADING ROLE,Govinda,Bunnu,False
1998,1999,45,Best Actor,ACTOR IN A LEADING ROLE,Kamal Haasan,Jaiprakash Paswan alias Laxmi Godbole,False
1998,1999,45,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,Rahul Joshi,False
1999,2000,46,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan ‡,Rahul Khanna,True
1999,2000,46,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Siddharth Marathe,False
1999,2000,46,Best Actor,ACTOR IN A LEADING ROLE,Ajay Devgan,Ajay R. Desai,False
1999,2000,46,Best Actor,ACTOR IN A LEADING ROLE,Govinda,Pyare Mohan a.k.a. Chote Miyan,False
1999,2000,46,Best Actor,ACTOR IN A LEADING ROLE,Salman Khan,Suraj Khanna,False
2000,2001,47,Best Actor,ACTOR IN A LEADING ROLE,,Sanjay Dutt ‡,False
2000,2001,47,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Ajay Singh Rathore,False
2000,2001,47,Best Actor,ACTOR IN A LEADING ROLE,Ajay Devgan,Vanraj,False
2000,2001,47,Best Actor,ACTOR IN A LEADING ROLE,Salman Khan,Sameer Rossellini,False
2000,2001,47,Best Actor,ACTOR IN A LEADING ROLE,Manoj Bajpayee,Samar Pratap Singh,False
2001,2002,48,Best Actor,ACTOR IN A LEADING ROLE,,Hrithik Roshan ‡,False
2001,2002,48,Best Actor,ACTOR IN A LEADING ROLE,Anil Kapoor,Major Jaidev Rajvansh,False
2001,2002,48,Best Actor,ACTOR IN A LEADING ROLE,Hrithik Roshan,Amaan Ikramullah,False
2001,2002,48,Best Actor,ACTOR IN A LEADING ROLE,Sanjay Dutt,SSP Inayat Khan,False
2001,2002,48,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,Raj Aryan Malhotra,False
2001,2002,48,Best Actor,ACTOR IN A LEADING ROLE,Akshay Kumar,Ram Verma,False
2002,2003,49,Best Actor,ACTOR IN A LEADING ROLE,,Aamir Khan ‡,False
2002,2003,49,Best Actor,ACTOR IN A LEADING ROLE,Sunny Deol,Tara Singh,False
2002,2003,49,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Akash Malhotra,False
2002,2003,49,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Manu Verma,False
2002,2003,49,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,Rahul Y. Raichand,False
2003,2004,50,Best Actor,ACTOR IN A LEADING ROLE,,Shah Rukh Khan ‡,False
2003,2004,50,Best Actor,ACTOR IN A LEADING ROLE,Ajay Devgan,Bhagat Singh,False
2003,2004,50,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,"Yashvardhan ""Major"" Rampal",False
2003,2004,50,Best Actor,ACTOR IN A LEADING ROLE,Bobby Deol,Raj Singhania,False
2003,2004,50,Best Actor,ACTOR IN A LEADING ROLE,Vivek Oberoi,Aditya Sehgal,False
2004,2005,51,Best Actor,ACTOR IN A LEADING ROLE,,Hrithik Roshan ‡,False
