Year,Category,Winner,Film
2016,Best Playback Singer Female,,Bajirao Mastani
2016,Best Playback Singer Female,,Dil Dhadakne Do
2017,Best Playback Singer Female,,Airlift
2017,Best Playback Singer Female,,Udta Punjab
2017,Best Playback Singer Female,,Sultan
2018,Best Playback Singer Female,,Secret Superstar
2019,Best Playback Singer Female,,Raazi
2019,Best Playback Singer Female,,Padmaavat
2019,Best Playback Singer Female,,Sanju
2019,Best Playback Singer Female,,Satyameva Jayate
2020,Best Playback Singer Female,,Kabir Singh
2020,Best Playback Singer Female,,Article 15
2020,Best Playback Singer Female,,Gully Boy
2020,Best Playback Singer Female,,War
2021,Best Playback Singer Female,AWARDS NOT HELD DUE TO COVID-19 PANDEMIC,AWARDS NOT HELD DUE TO COVID-19 PANDEMIC
2022,Best Playback Singer Female,,Shershaah
2022,Best Playback Singer Female,,Chandigarh Kare Aashiqui
2022,Best Playback Singer Female,,Atrangi Re
2022,Best Playback Singer Female,,Mimi
2023,Best Playback Singer Female,,Brahmāstra: Part One – Shiva
2023,Best Playback Singer Female,,Jugjugg Jeeyo
2023,Best Playback Singer Female,,Gehraiyaan
2023,Best Playback Singer Female,,Gangubai Kathiawadi
2024,Best Playback Singer Female,,Jawan
2024,Best Playback Singer Female,,Pathaan
2024,Best Playback Singer Female,,Animal
2024,Best Playback Singer Female,,Rocky Aur Rani Kii Prem Kahaani
2025,Best Playback Singer Female,,Bhool Bhulaiyaa 3
2025,Best Playback Singer Female,,Stree 2
2025,Best Playback Singer Female,,Kill
2025,Best Playback Singer Female,,Fighter
2025,Best Playback Singer Female,,Laapataa Ladies
