year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2011,2012,14,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan ‡",Dabangg,False
2012,2013,15,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranbir Kapoor †",Rockstar,False
2012,2013,15,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgn ‡",Singham,False
2012,2013,15,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan ‡","Zindagi Na Milegi Dobara",False
2012,2013,15,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan ‡",Bodyguard,False
2012,2013,15,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Don 2",False
2012,2013,15,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan",Ra.One,False
2013,2014,16,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan ‡","Dabangg 2",False
2013,2014,16,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan ‡",Agneepath,False
2013,2014,16,"Best Actor Male","ACTOR IN A LEADING ROLE","Irrfan Khan ‡","Paan Singh Tomar",False
2013,2014,16,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranbir Kapoor †",Barfi!,False
2013,2014,16,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Jab Tak Hai Jaan",False
2014,2015,17,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Chennai Express",False
2014,2015,17,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan","Dhoom 3",False
2014,2015,17,"Best Actor Male","ACTOR IN A LEADING ROLE","Aditya Roy Kapur","Aashiqui 2",False
2014,2015,17,"Best Actor Male","ACTOR IN A LEADING ROLE","Farhan Akhtar †","Bhaag Milkha Bhaag",False
2014,2015,17,"Best Actor Male","ACTOR IN A LEADING ROLE","Aditya Roy Kapoor ‡","Yeh Jawaani Hai Deewani",False
2014,2015,17,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranveer Singh ‡","Goliyon Ki Raasleela Ram-Leela",False
2015,2016,18,"Best Actor Male","ACTOR IN A LEADING ROLE","No award",--,False
2016,2017,19,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan ‡","Bajrangi Bhaijaan",False
2016,2017,19,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgn",Drishyam,False
2016,2017,19,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar",Baby,False
2016,2017,19,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranbir Kapoor ‡",Tamasha,False
2016,2017,19,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranveer Singh †","Bajirao Mastani",False
2016,2017,19,"Best Actor Male","ACTOR IN A LEADING ROLE","Varun Dhawan ‡",Badlapur,False
2017,2018,20,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan ‡",Sultan,False
2017,2018,20,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan †",Dangal,False
2017,2018,20,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar",Airlift,False
2017,2018,20,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan ‡",Pink,False
2017,2018,20,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranbir Kapoor ‡","Ae Dil Hai Mushkil",False
2017,2018,20,"Best Actor Male","ACTOR IN A LEADING ROLE","Sushant Singh Rajput ‡","M.S. Dhoni: The Untold Story",False
2018,2019,21,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar","Jolly LLB 2",False
2018,2019,21,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar ‡","Toilet: Ek Prem Katha",False
