year,ceremony,category,nominee,film,country,winner,source_url
2009,BIFA 2009,Best Supporting Actress,An Education,Helen,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2009,BIFA 2009,Best Supporting Actress,Bright Star,Mrs. Brawne,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2009,BIFA 2009,Best Supporting Actress,Fish Tank,Joanne Williams,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2009,BIFA 2009,Best Supporting Actress,Nowhere Boy,Mimi Smith,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2010,BIFA 2010,Best Actor,Colin Firth,The King's Speech,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2010,BIFA 2010,Best Actor,Another Year,Tom Hepple,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2010,BIFA 2010,Best Actor,Four Lions,Omar,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2010,BIFA 2010,Best Actor,Monsters,Andrew Kaulder,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2010,BIFA 2010,Best Actor,Treacle Jr.,Aidan,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2010,BIFA 2010,Best Actress,Carey Mulligan,Never Let Me Go,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2010,BIFA 2010,Best Actress,Another Year,Gerri Hepple,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2010,BIFA 2010,Best Actress,Brighton Rock,Rose,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2010,BIFA 2010,Best Actress,Made in Dagenham,Rita O'Grady,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2010,BIFA 2010,Best Actress,The Arbor,Lorraine Dunbar,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2010,BIFA 2010,Best British Independent Film,,The King's Speech,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2010,BIFA 2010,Best British Independent Film,,Chris Morris,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2010,BIFA 2010,Best British Independent Film,,Matthew Vaughn,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2010,BIFA 2010,Best British Independent Film,,Gareth Edwards,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2010,BIFA 2010,Best British Independent Film,,Mark Romanek,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2010,BIFA 2010,Best Supporting Actor,Geoffrey Rush,The King's Speech,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2010,BIFA 2010,Best Supporting Actor,Four Lions,Waj,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2010,BIFA 2010,Best Supporting Actor,Made in Dagenham,Albert Passingham,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2010,BIFA 2010,Best Supporting Actor,Never Let Me Go,Tommy D,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2010,BIFA 2010,Best Supporting Actor,The King's Speech,King Edward VIII,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2010,BIFA 2010,Best Supporting Actress,Helena Bonham Carter,The King's Speech,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2010,BIFA 2010,Best Supporting Actress,Another Year,Mary Smith,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2010,BIFA 2010,Best Supporting Actress,Made in Dagenham,Lisa Hopkins,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2010,BIFA 2010,Best Supporting Actress,Never Let Me Go,Ruth C,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2010,BIFA 2010,Best Supporting Actress,Tamara Drewe,Beth Hardiment,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2011,BIFA 2011,Best Actor,Michael Fassbender,Shame,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2011,BIFA 2011,Best Actor,Kill List,Jay,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2011,BIFA 2011,Best Actor,The Guard,Sergeant Gerry Boyle,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2011,BIFA 2011,Best Actor,Tinker Tailor Soldier Spy,George Smiley,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2011,BIFA 2011,Best Actor,Tyrannosaur,Joseph,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2011,BIFA 2011,Best Actress,Olivia Colman,Tyrannosaur,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2011,BIFA 2011,Best Actress,Jane Eyre,Jane Eyre,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2011,BIFA 2011,Best Actress,Kill List,Shel,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2011,BIFA 2011,Best Actress,The Awakening,Florence Cathcart,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2011,BIFA 2011,Best Actress,We Need to Talk About Kevin,Eva Khatchadourian,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2011,BIFA 2011,Best British Independent Film,,Tyrannosaur,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2011,BIFA 2011,Best British Independent Film,,Asif Kapadia,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2011,BIFA 2011,Best British Independent Film,,Steve McQueen,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2011,BIFA 2011,Best British Independent Film,,Tomas Alfredson,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2011,BIFA 2011,Best British Independent Film,,Lynne Ramsay,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2011,BIFA 2011,Best Supporting Actor,Michael Smiley,Kill List,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2011,BIFA 2011,Best Supporting Actor,Ricki Tarr,Ricki Tarr,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2011,BIFA 2011,Best Supporting Actor,Tinker Tailor Soldier Spy,Peter Guilliam,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2011,BIFA 2011,Best Supporting Actor,Tyrannosaur,James,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2011,BIFA 2011,Best Supporting Actor,We Need to Talk about Kevin,Kevin Khatchadourian,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2011,BIFA 2011,Best Supporting Actress,Vanessa Redgrave,Coriolanus,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2011,BIFA 2011,Best Supporting Actress,Albatross,Beth Fischer,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2011,BIFA 2011,Best Supporting Actress,Shame,Sissy Sullivan,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2011,BIFA 2011,Best Supporting Actress,Submarine,Jill Tate,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2011,BIFA 2011,Best Supporting Actress,Tinker Tailor Soldier Spy,Connie Sachs,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2012,BIFA 2012,Best Actor,Toby Jones,Berberian Sound Studio,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2012,BIFA 2012,Best Actor,Broken,Archie Cunningham,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2012,BIFA 2012,Best Actor,Ill Manors,Aaron,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2012,BIFA 2012,Best Actor,Sightseers,Chris,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2012,BIFA 2012,Best Actor,Song for Marion,Arthur,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2012,BIFA 2012,Best Actress,Andrea Riseborough,Shadow Dancer,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2012,BIFA 2012,Best Actress,Ginger & Rosa,Ginger,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2012,BIFA 2012,Best Actress,Sightseers,Tina,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2012,BIFA 2012,Best Actress,The Best Exotic Marigold Hotel,Evelyn Greenslade,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2012,BIFA 2012,Best Actress,The Iron Lady,Margaret Thatcher,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2012,BIFA 2012,Best British Independent Film,,Broken,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2012,BIFA 2012,Best British Independent Film,,John Madden,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2012,BIFA 2012,Best British Independent Film,,Bart Layton,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2012,BIFA 2012,Best British Independent Film,,Ben Wheatley,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2012,BIFA 2012,Best British Independent Film,,Peter Strickland,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2012,BIFA 2012,Best Supporting Actor,Rory Kinnear,Broken,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2012,BIFA 2012,Best Supporting Actor,Broken,Mike Kiernan,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2012,BIFA 2012,Best Supporting Actor,Quartet,"Wilfred ""Wilf"" Bond",,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2012,BIFA 2012,Best Supporting Actor,Shadow Dancer,Connor McVeigh,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
