year,ceremony,category,nominee,film,country,winner,source_url
1983,Venice Film Festival 1983,Volpi Cup for Best Actor,Billy,Billy,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1983,Venice Film Festival 1983,Volpi Cup for Best Actor,Carlyle,Carlyle,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1983,Venice Film Festival 1983,Volpi Cup for Best Actor,Cokes,Cokes,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1983,Venice Film Festival 1983,Volpi Cup for Best Actor,Guy Boyd,Streamers,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1983,Venice Film Festival 1983,Volpi Cup for Best Actor,Richie,Richie,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1983,Venice Film Festival 1983,Volpi Cup for Best Actor,Roger,Roger,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1983,Venice Film Festival 1983,Volpi Cup for Best Actress,Darling Légitimus,Sugar Cane Alley,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1984,Venice Film Festival 1984,Golden Lion,,A Year of the Quiet Sun,,1,https://en.wikipedia.org/wiki/Golden_Lion
1984,Venice Film Festival 1984,Silver Lion,,Sonatine,,1,https://en.wikipedia.org/wiki/Silver_Lion
1984,Venice Film Festival 1984,Volpi Cup for Best Actor,Albert Finney,The Dresser,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1984,Venice Film Festival 1984,Volpi Cup for Best Actor,Naseeruddin Shah,Paar,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1984,Venice Film Festival 1984,Volpi Cup for Best Actress,Helen Mirren,Cal,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1984,Venice Film Festival 1984,Volpi Cup for Best Actress,Pascale Ogier,Full Moon in Paris,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1985,Venice Film Festival 1985,Golden Lion,,Vagabond,,1,https://en.wikipedia.org/wiki/Golden_Lion
1985,Venice Film Festival 1985,Golden Lion,"Manoel de Oliveira, John Huston, and Federico Fellini","Manoel de Oliveira, John Huston, and Federico Fellini",,1,https://en.wikipedia.org/wiki/Golden_Lion
1985,Venice Film Festival 1985,Silver Lion,,Dust,,1,https://en.wikipedia.org/wiki/Silver_Lion
1985,Venice Film Festival 1985,Volpi Cup for Best Actor,Gérard Depardieu,Police,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1986,Venice Film Festival 1986,Golden Lion,,The Green Ray,,1,https://en.wikipedia.org/wiki/Golden_Lion
1986,Venice Film Festival 1986,Golden Lion,Paolo Taviani and Vittorio Taviani,Paolo Taviani and Vittorio Taviani,,1,https://en.wikipedia.org/wiki/Golden_Lion
