year,ceremony,category,nominee,film,winner,source_url
2013,1st Africa Magic Viewers' Choice Awards,Best Sound Editor Michael Botha / Joel Assaizky –,Juli vanden Berg /Tiago Correia-Paulo,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Sound Editor Michael Botha / Joel Assaizky –,Obi Emelonye,The Mirror Boy,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actor,Mathew Nabwiso,A Good Catholic Girl,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actor,Fabian Adeoye Lojede,Man on Ground,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actor,Kalu Ikeagwu,Two Brides and a Baby,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actor,Osita Iheme,The Mirror Boy,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actor,Thomas Gumede,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actress,Maureen Koech,Lies that Bind,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actress,Harriet Manamela,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actress,Regina Chukwu,Akun,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actress,Taiwo Atigogo,Old Cargo Young Blood,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Supporting Actress,Thishiwe Ziqubu,Man on Ground,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
