year,ceremony,category,nominee,film,winner,source_url
1952,10th Golden Globe Awards,Best Motion Picture – Drama,The Happy Time,The Happy Time,0,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Motion Picture – Drama,High Noon,High Noon,0,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Motion Picture – Drama,The Thief,The Thief,0,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Motion Picture – Comedy or Musical,Hans Christian Andersen,Hans Christian Andersen,1,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Motion Picture – Comedy or Musical,I'll See You in My Dreams,I'll See You in My Dreams,0,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Motion Picture – Comedy or Musical,Singin' in the Rain,Singin' in the Rain,0,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Motion Picture – Comedy or Musical,Stars and Stripes Forever,Stars and Stripes Forever,0,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Performance by an Actor in a Motion Picture – Drama,Charles Boyer,The Happy Time,1,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Performance by an Actor in a Motion Picture – Drama,Ray Milland,The Thief,0,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
1952,10th Golden Globe Awards,Best Performance by an Actress in a Motion Picture – Drama,Joan Crawford,Sudden Fear,1,https://en.wikipedia.org/wiki/10th_Golden_Globe_Awards
